the extracted feature,class
"[-143.93222     98.66428    -80.28308     25.24429    -42.340687
   -9.3470335  -25.37279     -5.1726465  -15.540673   -25.23254
  -20.981365   -21.984156    -8.254198   -16.970331    -1.7145087
  -14.321873    -8.41824    -11.052109   -18.315716    -9.123524
   -2.2315829    4.5264196   -4.742695     4.425198     6.781308
    3.009729     3.816987     1.6034822   -5.2164526   -1.505724
    1.9894235  -12.090044    -7.8412056   -3.253523    -6.7611947
   -3.2737293    4.7915015    6.496632    -0.8094886   -7.493921 ]",bageshree
"[-1.7440526e+02  1.4387666e+02 -4.9689579e+01  1.3065854e+00
 -4.8174152e+00  1.0877274e+00 -7.3535018e+00  3.3233850e+00
 -7.9146943e+00  4.6533909e+00  5.3125696e+00 -4.2093558e+00
  3.4941259e-01  7.9410946e-01 -8.5411444e+00  8.1457596e+00
 -1.0449901e+01  5.3229704e+00 -4.8448930e+00 -6.0192018e+00
 -3.1933861e+00  1.5582387e+00 -5.4270954e+00  2.0449233e+00
  1.7003587e+00 -8.7645417e-01 -1.0302788e+01 -5.1117027e-01
 -5.2596397e+00 -5.5735669e+00 -2.9906275e+00 -1.0500596e-01
 -2.5541568e-01 -7.5148553e-01  4.2044142e-01  3.7117150e+00
  4.6819277e+00  1.3698858e+00  7.8293455e-01  4.4515133e+00]",bageshree
"[-151.48354     108.609375    -79.89627      21.169851    -33.630405
  -12.7018385   -21.333227     -8.824466    -12.773365    -25.614857
  -20.584873    -22.4823      -12.345606    -20.826206     -7.046465
  -16.136494    -11.12192      -9.611605    -19.323294     -9.347273
   -4.288787      5.6981616     0.52891755    5.7706823     8.118729
    2.5902655     4.225228      2.3423805    -1.2304815    -0.35006142
   -1.6340925   -10.842581     -4.4115415    -2.8765497    -7.739888
   -4.545759      0.43189818    2.0174823    -2.6450694    -6.0417247 ]",bageshree
"[-1.55500488e+02  1.24044319e+02 -5.13136406e+01 -7.93062449e+00
 -1.10679331e+01  1.07291088e+01 -1.37824354e+01  7.46507025e+00
 -1.21408777e+01  1.24961138e+01  5.09361124e+00 -6.83517265e+00
 -4.85351086e+00 -1.51111913e+00 -3.06820822e+00  4.85434341e+00
 -6.71900702e+00  3.80273128e+00 -6.34340954e+00 -2.10320497e+00
  5.05592632e+00 -6.04689479e-01  1.08920425e-01  6.32239485e+00
  4.41581726e+00  8.49039364e+00 -4.01570511e+00 -5.91558099e-01
 -2.56875229e+00 -4.78945541e+00  1.07693362e+00 -4.80153382e-01
 -7.55712241e-02 -2.24953294e+00  3.53495288e+00 -8.29187512e-01
  1.34185576e+00 -3.42783403e+00 -2.46497226e+00  5.41183567e+00]",bageshree
"[-2.1026842e+02  1.2323611e+02 -5.3871349e+01 -3.4111769e+00
 -7.7851164e-01  1.6662902e+00 -3.2075377e+00  4.1011395e+00
  1.3418003e+00  1.1281373e+01  2.6977160e+00  6.2590337e+00
  2.5922213e+00  2.2401481e+00 -4.0114546e+00  1.7888750e+00
 -6.5430441e+00  1.0226826e+01 -4.5557513e+00 -4.0496573e+00
 -1.2515728e+00 -2.5270388e+00 -8.5528030e+00 -6.0844779e+00
 -6.8475237e+00  1.4571779e+00 -6.8407245e+00  6.5517058e+00
  1.4876839e+00 -2.9193234e+00  2.1621940e+00  5.8040757e+00
  2.4251711e+00  5.0576478e-02  4.4282365e+00  5.3108211e+00
  8.3047304e+00  7.0618248e+00  1.8792978e-01  9.2669926e+00]",bageshree
"[-2.2459267e+02  1.2432394e+02 -4.9258972e+01  2.1139977e+00
  3.9889953e+00  5.2891593e+00  2.6010722e-01  6.3323770e+00
  6.0952973e+00  6.0829139e+00  2.1355598e+00  6.9887094e+00
  3.5826192e+00  3.8603315e+00 -5.2921944e+00  1.4615175e+00
 -4.9343252e+00  1.2792256e+01 -3.3140001e+00 -2.5209239e+00
 -2.5459104e+00 -4.3090075e-02 -7.2011027e+00 -7.1358776e+00
 -6.5242352e+00  8.0936825e-01 -7.1157432e+00  3.9565494e+00
 -2.2404115e+00 -7.1016612e+00 -1.7711885e-01  8.3416777e+00
  1.5985849e+00 -3.0301905e+00 -3.7738335e+00  5.2114618e-01
  3.4916425e+00  5.7778106e+00 -2.5993311e+00  8.7582645e+00]",bageshree
"[-1.8771342e+02  1.3232089e+02 -4.5685471e+01  2.3526161e+00
  1.7356849e+00  5.9917254e+00 -1.1126928e+01  5.7123613e+00
 -7.0281219e+00  7.6157675e+00  1.1419916e+00 -5.9649119e+00
  4.8008177e-01  5.0449038e+00 -2.2984498e+00  7.2735995e-01
 -4.9317532e+00  1.6875470e-01 -5.7881846e+00 -4.2451358e+00
 -2.0782988e+00  3.0379186e+00  4.3395815e+00  9.7577744e+00
  9.7152309e+00  9.3814001e+00 -1.9608257e+00  7.0156556e-01
 -1.2859150e+00 -2.1215563e+00 -1.9556361e-01  1.0836802e+00
  4.4870682e-02 -2.6866090e+00  3.6101750e-01 -7.0868230e-01
  8.1033200e-02 -3.5950229e+00 -2.7858315e+00  6.5152082e+00]",bageshree
"[-1.5800722e+02  9.1730118e+01 -7.5631699e+01  2.7944572e+01
 -4.3048016e+01 -6.0776377e+00 -2.8653299e+01 -9.0750065e+00
 -1.8008762e+01 -2.5068544e+01 -1.9553255e+01 -2.2681604e+01
 -7.5865865e+00 -1.3184729e+01  1.6121883e+00 -1.2302431e+01
 -4.3813996e+00 -8.7680883e+00 -1.8020309e+01 -9.8463535e+00
 -6.8534184e+00 -3.5526772e+00 -1.4663809e+01 -6.2665811e+00
 -9.1861308e-01 -4.5944929e-01  4.3553143e+00  6.7205687e+00
  8.7744254e-01 -6.1631018e-01  3.1746071e-02 -9.9951420e+00
 -6.8149981e+00 -1.7032986e+00 -2.3233383e+00 -2.1200421e+00
  5.2981715e+00  3.6068599e+00 -5.3756094e+00 -2.9304249e+00]",bageshree
"[-2.4529720e+02  1.2895822e+02 -3.4344624e+01  6.6587286e+00
 -6.6762629e+00 -6.5374632e+00 -1.7984041e+01  4.2484590e-01
 -9.4576101e+00 -2.6221251e+00 -3.6011219e+00 -5.1902065e+00
  5.0241275e+00  9.0769739e+00 -1.7632421e+00  3.5121469e+00
  3.3074173e-01  2.7697382e+00 -1.0039374e+01 -3.8568845e+00
 -6.9186563e+00  2.9750478e+00 -5.2390018e+00 -4.2804399e+00
 -1.0654924e+00 -1.9080564e+00 -6.6537380e+00  1.1385328e+00
 -3.0181792e+00 -9.7779808e+00 -1.5958785e+00  3.3758707e+00
 -4.3173385e+00  1.5094850e+00 -2.1538231e-01  6.5333802e-01
 -6.3833553e-01 -1.6923060e+00 -7.0630774e+00  5.7229486e+00]",bageshree
"[-3.13848907e+02  1.25131256e+02 -1.23021927e+01  3.38238454e+00
 -1.01337690e+01 -1.32564001e+01 -1.06884184e+01  4.34396744e+00
 -1.86836758e+01 -1.39226456e+01  5.49701309e+00  3.37691975e+00
  1.36989946e+01  6.77472258e+00 -8.96970081e+00  1.09636583e+01
  7.46926022e+00  2.35113144e+00 -7.69215286e-01 -6.01475716e-01
 -7.41558743e+00 -1.96599051e-01 -7.85140467e+00 -8.15789223e+00
 -1.28334236e+00  1.52545249e+00 -6.77864885e+00  6.89781332e+00
  1.98054314e+00 -6.94608974e+00 -3.42678452e+00  8.43237877e+00
 -3.03537822e+00 -1.35943305e+00 -6.19109869e+00 -6.00207281e+00
 -5.82052040e+00 -1.59807265e+00 -9.73594475e+00  1.15535462e+00]",bageshree
"[-310.55518     125.93161     -12.078639      6.1370907    -3.6233165
  -10.314591    -11.820125      1.0193002   -14.764822    -14.721216
    3.612804      4.8755584    14.037229      9.399285     -6.0821996
    8.613243      8.720135      5.8699474    -1.5319725     0.36511093
  -11.374765      1.6936865    -9.1804495   -10.639017     -3.5915573
    3.634463     -4.571952      5.3482137     0.46097046   -7.9209294
   -4.831265      7.677161     -5.388553     -3.0369117    -3.200785
   -5.308858     -5.265672     -1.5595734    -8.0933075     4.7524114 ]",bageshree
"[-2.6392404e+02  1.1957596e+02 -3.6590004e+01  8.5543461e+00
 -3.1187010e+00 -1.4263111e+00 -1.8722549e+01 -4.0199575e+00
 -1.5796568e+01 -5.0496063e+00  4.1264687e+00 -7.5441856e+00
  9.3301964e+00  1.1597817e+01 -4.2506618e+00  6.7387028e+00
  3.2800152e+00  3.9772024e+00 -4.9835062e+00 -5.5379529e-02
 -5.9180074e+00  1.2934210e+00 -1.0013152e+01 -1.3466157e+01
 -3.8508205e+00 -7.2186464e-01 -1.5530581e+00  1.1294411e+01
  3.5559883e+00 -4.9390836e+00  3.3650026e-01  7.0791688e+00
 -3.9125714e+00  1.5175688e+00  1.8809341e+00  1.0952381e+00
 -3.1881133e-01  4.1132322e-01 -4.7957911e+00  8.3324938e+00]",bageshree
"[-2.8066736e+02  1.8418787e+02 -5.9856174e+01 -1.3986678e+01
 -5.6301397e-01 -1.7675375e+01 -1.3980510e+01 -3.6127172e+00
 -4.0537553e+00 -4.4304672e-01  2.3681991e+00 -5.0970464e+00
  1.6854372e+01  8.3709879e+00  7.6328480e-01  2.6984075e-01
  9.0213718e+00  5.0239415e+00 -2.0068316e+00  3.7096553e+00
 -1.0029965e+01 -1.2437660e-01 -7.7569594e+00 -1.1264020e+01
 -5.1040525e+00  1.0174273e+00 -3.2803392e+00  4.7030015e+00
  2.7720342e+00 -8.0669794e+00 -2.1682947e+00  1.1808699e+01
 -4.8618913e+00 -3.4138727e+00 -1.0027536e+01 -5.5860610e+00
 -3.8436537e+00 -1.1738957e+00 -7.7188864e+00  3.4886711e+00]",bageshree
"[-288.23218     116.0517      -38.52438       3.5348816    -6.7157974
    3.0869231   -14.716556     -6.689233    -10.8794775    -0.50293785
    3.5302022    -2.7894533     7.074922     10.125446     -2.735504
    6.1204424     7.094177      8.215285     -4.1450653    -2.2820544
   -3.1402712     2.6034837    -7.289979     -7.7104564    -6.3062034
   -1.4032372    -5.3126006     7.272754      0.74282116   -8.862522
   -1.3234278     8.436471     -3.1007926     0.47257298    3.121548
    3.947012      3.5538802     3.7127345    -6.119726      5.098507  ]",bageshree
"[-2.6532712e+02  1.3200102e+02 -1.8862623e+01 -4.7746668e+00
 -1.9617558e+01 -6.4437718e+00 -1.0650626e+01 -2.4575925e+00
 -2.2045387e+01 -1.1361269e+01  2.0928869e+00  4.8176899e+00
  2.7176251e+00  7.8072186e+00 -4.6428556e+00  9.7779827e+00
  3.1636894e+00  4.9911561e+00 -2.6516294e+00 -6.1293274e-01
 -1.0317852e+01 -8.5886854e-01 -9.4571600e+00 -9.4657640e+00
 -3.9390209e+00 -3.3785284e-01 -5.5760336e+00  8.3774967e+00
  3.9983003e+00 -5.5178876e+00 -1.3288311e+00  9.7911177e+00
 -3.0202048e+00 -7.4090943e-02  1.8460912e+00 -1.6368678e+00
 -1.5401930e+00 -6.7123365e-01 -5.2604055e+00  7.0442185e+00]",bageshree
"[-2.8149957e+02  1.3070271e+02 -1.6117479e+01 -6.7116851e-01
 -1.4249501e+01 -1.0231230e+01 -1.1955851e+01 -2.9447718e+00
 -2.0240582e+01 -1.2193909e+01  1.4303982e-01  5.4193559e+00
  2.2951770e+00  1.1426723e+01 -6.2157831e+00  8.6092863e+00
  5.7829099e+00  5.6350904e+00 -2.1684690e-01 -2.8125694e+00
 -1.2260644e+01 -1.5637699e+00 -8.1525650e+00 -9.7664747e+00
 -1.6824275e+00 -8.9345896e-01 -4.8912044e+00  7.6991305e+00
  1.6193070e+00 -9.4317293e+00 -3.3021843e+00  1.1336715e+01
 -2.6505818e+00  1.0279059e+00  5.5581784e-01  1.0384773e+00
  1.1730943e+00  2.9551566e+00 -2.1089857e+00  9.2719812e+00]",bageshree
"[-2.62574188e+02  1.24866066e+02 -3.44275856e+01  7.35476398e+00
 -4.57114840e+00  1.47622693e+00 -1.60870056e+01 -5.39208651e+00
 -1.23108673e+01 -3.81270790e+00  6.00581980e+00 -5.75893307e+00
  9.97441101e+00  1.07854996e+01 -3.24433303e+00  5.66014385e+00
  3.23605084e+00  4.78172445e+00 -4.02860260e+00 -1.93471253e+00
 -5.11042118e+00  2.93304873e+00 -6.94509935e+00 -1.11821098e+01
 -6.01032400e+00 -2.67705369e+00 -3.47075033e+00  9.79702568e+00
  1.92387629e+00 -7.62496042e+00 -6.67203665e-02  8.78781509e+00
 -3.27374816e+00  2.19796228e+00  3.90956092e+00  4.05481672e+00
  2.25099945e+00  1.14075184e+00 -7.38480282e+00  5.99040556e+00]",bageshree
"[-2.5884100e+02  1.8669298e+02 -6.2202579e+01 -1.1849567e+01
 -2.2738192e+00 -1.7449198e+01 -1.6140093e+01 -5.8326240e+00
 -5.2563677e+00 -3.6717815e+00  3.5579641e+00 -3.5439017e+00
  1.1460346e+01  1.2075926e+01  1.4129999e-01  3.6386526e+00
  7.3273897e+00  3.2964580e+00 -1.8850811e+00  4.4253235e+00
 -8.9509573e+00 -2.7557340e-01 -9.9498520e+00 -1.2118667e+01
 -3.5952556e+00  2.3026277e-01 -3.5221717e+00  3.6766474e+00
  1.5415897e+00 -9.5468388e+00 -1.2668531e+00  1.0842663e+01
 -3.7677195e+00 -4.6260281e+00 -6.2102757e+00 -5.1717525e+00
 -7.7939588e-01  6.3856459e-01 -4.7293558e+00  6.1274405e+00]",bageshree
"[-240.7156      144.63303     -18.936708    -12.185939    -16.155056
    4.928482    -12.23894      -5.5496182   -23.541594     -9.516344
    3.6012044    -3.7565124     3.8999064     7.6693726    -1.3734154
    6.5450215    -0.3130764     0.8461884    -2.3742416    -3.8647277
  -11.319784     -1.701792     -4.042663     -7.82072      -1.412727
    0.587284     -5.962236      4.6906276     1.3593049    -6.651041
    0.30906186    5.8379216    -3.7086112     0.4665654    -0.7267175
   -2.4128304    -2.995904      0.59363353   -4.1706367     6.6737614 ]",bageshree
"[-2.2855420e+02  1.8617383e+02 -4.9952480e+01 -1.3875173e+01
 -5.5901055e+00 -7.2084265e+00 -8.9095888e+00 -6.5179009e+00
 -7.6240826e+00 -2.4742734e+00  3.5406492e+00 -5.8035088e+00
  9.0992765e+00  1.0502163e+01  2.7273149e+00  3.5066717e+00
  5.5491905e+00  5.7538104e-01 -2.6313562e+00 -1.0696425e+00
 -5.7970810e+00 -1.3486025e+00 -7.5567527e+00 -8.2211876e+00
  8.3133310e-01  1.1296680e-01 -2.7719476e+00  2.6358209e+00
  3.0329120e+00 -8.2872181e+00 -9.3096393e-01  7.9616256e+00
 -1.2068735e+00 -5.1756901e-01 -2.3441617e+00 -1.9494216e+00
  1.1718991e-01 -6.3479865e-01 -2.8994401e+00  4.0700898e+00]",bageshree
